GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0006873	intracellular monoatomic ion homeostasis	22	1223	1.80%	128	6486	1.97%	YBR010W, YBR127C, YCL017C, YDL185W, YDL198C, YDR328C, YEL031W, YEL051W, YER133W, YGR020C, YGR240C, YHR039C-A, YJR104C, YKL080W, YLR220W, YMR105C, YMR205C, YNL031C, YOR153W, YOR270C, YOR332W, YPR036W
GO:0006418	tRNA aminoacylation for protein translation	22	1223	1.80%	36	6486	0.56%	YBL076C, YBR121C, YDR023W, YDR037W, YDR341C, YFL022C, YGL105W, YGL245W, YGR094W, YGR185C, YGR264C, YHR019C, YHR020W, YIL078W, YLL018C, YLR060W, YNL247W, YOL097C, YOR168W, YOR335C, YPL160W, YPR033C
GO:0006354	DNA-templated transcription elongation	22	1223	1.80%	104	6486	1.60%	YBR089C-A, YBR245C, YCR093W, YDL084W, YDR194C, YDR432W, YER063W, YFR037C, YGL048C, YGL173C, YGR116W, YKR048C, YLR200W, YML010W, YMR039C, YNL153C, YNL248C, YNL288W, YOL145C, YOR259C, YPR034W, YPR133C
GO:0006414	translational elongation	22	1223	1.80%	334	6486	5.15%	YAL003W, YBR118W, YDL160C, YDL229W, YDR385W, YEL034W, YFR009W, YGL195W, YGR148C, YGR285C, YHR064C, YKL081W, YLR150W, YLR249W, YMR116C, YNL014W, YNL209W, YOR133W, YOR187W, YPL009C, YPL048W, YPR080W
GO:0000910	cytokinesis	21	1223	1.72%	95	6486	1.46%	YBL047C, YBR160W, YCR002C, YDR388W, YER133W, YFL005W, YFL039C, YGL106W, YGR152C, YHR107C, YIL138C, YIR006C, YJR076C, YLL021W, YLR314C, YMR092C, YMR109W, YNL079C, YOR122C, YOR326W, YPR165W
GO:0070647	protein modification by small protein conjugation or removal	20	1223	1.64%	142	6486	2.19%	YAL005C, YAR007C, YBR082C, YDL147W, YDR092W, YDR099W, YDR328C, YDR510W, YER125W, YER177W, YFR004W, YFR010W, YGL087C, YGR200C, YIL148W, YKL054C, YKL210W, YKR094C, YLR347C, YMR308C
GO:0051049	regulation of transport	20	1223	1.64%	86	6486	1.33%	YBR245C, YER120W, YER125W, YER133W, YGR167W, YIL118W, YJL117W, YJR117W, YKL126W, YKR049C, YLR106C, YLR342W, YLR347C, YML030W, YNL055C, YNR013C, YPL031C, YPL204W, YPR149W, YPR165W
GO:0032200	telomere organization	18	1223	1.47%	134	6486	2.07%	YAR007C, YBR088C, YBR160W, YDL084W, YER120W, YER133W, YGL037C, YGL173C, YJL080C, YKL054C, YKL117W, YLR150W, YMR186W, YMR235C, YNL088W, YNL216W, YOR209C, YPL240C
GO:0006397	mRNA processing	18	1223	1.47%	172	6486	2.65%	YBR160W, YDL084W, YDR378C, YDR432W, YEL026W, YER165W, YGL030W, YGL120C, YGL130W, YGR116W, YJL050W, YML010W, YMR125W, YOL021C, YOL123W, YOL145C, YOR204W, YPL190C
GO:0048308	organelle inheritance	17	1223	1.39%	55	6486	0.85%	YDL029W, YDL204W, YDR233C, YEL013W, YER120W, YFL039C, YFR051C, YGR132C, YGR209C, YGR231C, YIL062C, YLL001W, YLR043C, YML001W, YMR072W, YOR089C, YOR326W
GO:0006360	transcription by RNA polymerase I	17	1223	1.39%	70	6486	1.08%	YBR154C, YBR245C, YDR174W, YHR205W, YIL035C, YJL109C, YML010W, YNL248C, YOL004W, YOL145C, YOR039W, YOR061W, YOR224C, YOR340C, YOR341W, YPR010C, YPR110C
GO:0006970	response to osmotic stress	17	1223	1.39%	60	6486	0.93%	YCR009C, YDL022W, YDR040C, YER062C, YFL014W, YHR104W, YHR205W, YIL053W, YLR113W, YMR039C, YMR109W, YMR125W, YOL064C, YOR270C, YPL061W, YPL239W, YPL240C
GO:0009451	RNA modification	16	1223	1.31%	179	6486	2.76%	YBL024W, YCL017C, YDL014W, YDL208W, YDR120C, YGR200C, YHR089C, YIL043C, YKR056W, YLR175W, YLR197W, YNL061W, YNL132W, YOR251C, YPL204W, YPL212C
GO:0042594	response to starvation	16	1223	1.31%	45	6486	0.69%	YBR093C, YCR009C, YDR040C, YDR294C, YER175C, YGR130C, YGR173W, YKL100C, YKR026C, YLR155C, YLR157C, YLR158C, YLR160C, YLR270W, YNL209W, YOR173W
GO:0006352	DNA-templated transcription initiation	16	1223	1.31%	71	6486	1.09%	YBR089C-A, YBR245C, YDR174W, YDR394W, YGL048C, YGL173C, YGL207W, YGR116W, YJR017C, YKL054C, YKL145W, YML069W, YMR039C, YOL145C, YOR117W, YOR259C
GO:0006974	DNA damage response	15	1223	1.23%	74	6486	1.14%	YBR160W, YCR084C, YDR099W, YER133W, YER177W, YIL035C, YKL054C, YKL067W, YML028W, YMR152W, YNL216W, YOR039W, YOR061W, YOR141C, YPL031C
GO:0006486	protein glycosylation	15	1223	1.23%	64	6486	0.99%	YAL023C, YDL055C, YDL095W, YDR483W, YEL002C, YEL036C, YER003C, YGL022W, YGL027C, YJL002C, YJR143C, YNL219C, YOR085W, YOR198C, YPR183W
GO:0006260	DNA replication	15	1223	1.23%	138	6486	2.13%	YAR007C, YBR088C, YBR160W, YCR028C-A, YDL126C, YDR099W, YDR226W, YER133W, YGL207W, YLR113W, YML069W, YNL088W, YNL102W, YNL290W, YOL004W
GO:0051052	regulation of DNA metabolic process	15	1223	1.23%	117	6486	1.80%	YAR007C, YBL022C, YBR088C, YBR160W, YCR028C-A, YGL037C, YGL173C, YKL117W, YLR113W, YML010W, YNL088W, YOL004W, YOL145C, YPL127C, YPL240C
GO:0006869	lipid transport	15	1223	1.23%	73	6486	1.13%	YAR042W, YER120W, YHR001W, YKL126W, YLR380W, YML072C, YMR079W, YMR246W, YNL055C, YNL087W, YNL231C, YOR086C, YOR317W, YPL145C, YPR149W
GO:0006997	nucleus organization	14	1223	1.14%	98	6486	1.51%	YBR109C, YDR174W, YDR233C, YFR002W, YGL037C, YGR119C, YJL034W, YJR017C, YLR208W, YLR347C, YOL004W, YOR185C, YOR209C, YPL218W
GO:0008033	tRNA processing	13	1223	1.06%	118	6486	1.82%	YBL024W, YCL017C, YDL051W, YDR120C, YER125W, YGL130W, YGR200C, YIL043C, YKR056W, YOR251C, YPL190C, YPL204W, YPL212C
GO:0009408	response to heat	13	1223	1.06%	36	6486	0.56%	YBR025C, YBR072W, YDL100C, YDR258C, YER133W, YFL014W, YKR026C, YLL026W, YMR186W, YNL007C, YNL123W, YOR007C, YPL004C
GO:0007059	chromosome segregation	13	1223	1.06%	160	6486	2.47%	YAL016W, YBR160W, YDL126C, YER133W, YFL037W, YGL190C, YJL080C, YJR060W, YKL193C, YML085C, YML124C, YNL307C, YPL204W
GO:0006811	monoatomic ion transport	13	1223	1.06%	95	6486	1.46%	YBL030C, YDR040C, YFL041W, YGL008C, YGR192C, YIL121W, YLL001W, YLR220W, YML030W, YML123C, YNL055C, YOR211C, YPL036W
GO:0061025	membrane fusion	12	1223	0.98%	48	6486	0.74%	YBL050W, YBR080C, YDL126C, YFL005W, YFL038C, YKL196C, YKL212W, YMR183C, YMR231W, YOR165W, YPL204W, YPL232W
GO:0016197	endosomal transport	11	1223	0.90%	87	6486	1.34%	YDL126C, YER031C, YER125W, YFL038C, YGL137W, YGL210W, YIL076W, YJR125C, YKR014C, YML001W, YOR089C
GO:0051604	protein maturation	11	1223	0.90%	82	6486	1.26%	YAL044C, YBL091C, YBR106W, YDL040C, YHR068W, YJR070C, YJR117W, YLR259C, YMR038C, YMR297W, YPL240C
GO:0009311	oligosaccharide metabolic process	11	1223	0.90%	43	6486	0.66%	YBR126C, YBR160W, YDR001C, YDR074W, YGL156W, YKL035W, YKL127W, YLL026W, YML100W, YMR105C, YMR261C
GO:0006353	DNA-templated transcription termination	10	1223	0.82%	42	6486	0.65%	YBR121C, YBR143C, YBR245C, YDR432W, YGR116W, YJR017C, YMR039C, YNL112W, YOL145C, YPL190C
GO:0008380	RNA splicing	10	1223	0.82%	140	6486	2.16%	YDL084W, YDR194C, YDR378C, YDR432W, YEL026W, YGL030W, YGL120C, YML010W, YMR125W, YOR204W
GO:0007114	cell budding	10	1223	0.82%	51	6486	0.79%	YBR109C, YBR160W, YER133W, YGR152C, YIL129C, YIR006C, YKR048C, YLL021W, YMR109W, YPR165W
GO:0007031	peroxisome organization	10	1223	0.82%	55	6486	0.85%	YDL022W, YDL204W, YDR233C, YFR004W, YIR034C, YKR001C, YLL001W, YOL126C, YOL147C, YOR326W
GO:0007124	pseudohyphal growth	10	1223	0.82%	73	6486	1.13%	YCR093W, YDL160C, YDR099W, YDR497C, YER110C, YER177W, YER178W, YLL021W, YNL079C, YNL098C
GO:0006383	transcription by RNA polymerase III	9	1223	0.74%	47	6486	0.72%	YBR089C-A, YBR154C, YHR205W, YIL035C, YMR039C, YOR039W, YOR061W, YOR224C, YPR110C
GO:0006766	vitamin metabolic process	9	1223	0.74%	53	6486	0.82%	YBL036C, YBR035C, YBR084W, YBR256C, YDR487C, YHR063C, YMR096W, YOL143C, YPR069C
GO:0006887	exocytosis	9	1223	0.74%	44	6486	0.68%	YAR042W, YER031C, YFL005W, YGL210W, YHR001W, YIL118W, YMR109W, YOR326W, YPL145C
GO:0006310	DNA recombination	9	1223	0.74%	192	6486	2.96%	YAR007C, YBR160W, YGR159C, YHR039C, YJR144W, YML128C, YNL088W, YOR141C, YPL127C
GO:0018193	peptidyl-amino acid modification	9	1223	0.74%	63	6486	0.97%	YAL044C, YDR510W, YER049W, YHR068W, YJR070C, YLR172C, YLR347C, YMR308C, YOR021C
GO:0031399	regulation of protein modification process	8	1223	0.65%	61	6486	0.94%	YDL130W, YDR099W, YER177W, YHR107C, YJR076C, YLR347C, YMR308C, YPR149W
GO:0008643	carbohydrate transport	7	1223	0.57%	36	6486	0.56%	YCL040W, YDR342C, YDR345C, YFR053C, YGL253W, YHR096C, YMR011W
GO:0032543	mitochondrial translation	7	1223	0.57%	170	6486	2.62%	YBR121C, YGL068W, YIL051C, YLR312W-A, YNL137C, YOR187W, YPR033C
GO:0000902	cell morphogenesis	6	1223	0.49%	19	6486	0.29%	YDL223C, YER133W, YHR135C, YIL129C, YNL154C, YOL111C
GO:0043144	sno(s)RNA processing	6	1223	0.49%	38	6486	0.59%	YDL014W, YGL173C, YJL050W, YLR175W, YOL145C, YPL190C
GO:0006865	amino acid transport	6	1223	0.49%	45	6486	0.69%	YEL063C, YIL121W, YKR039W, YMR088C, YPL265W, YPR058W
GO:0006468	protein phosphorylation	4	1223	0.33%	45	6486	0.69%	YDL130W, YHR107C, YJR076C, YPR149W
GO:0032196	transposition	3	1223	0.25%	101	6486	1.56%	YER138C, YJR029W, YNL284C-B
GO:0006497	protein lipidation	2	1223	0.16%	45	6486	0.69%	YHR188C, YPR183W
GO:0008213	protein alkylation	1	1223	0.08%	20	6486	0.31%	YOR021C
GO:0043543	protein acylation	1	1223	0.08%	21	6486	0.32%	YDL040C
GO:0001403	invasive growth in response to glucose limitation	1	1223	0.08%	51	6486	0.79%	YPL203W
