GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0007010	cytoskeleton organization	58	1223	4.74%	253	6486	3.90%	YAL003W, YBL007C, YBL047C, YBR109C, YBR118W, YBR160W, YBR234C, YCL034W, YCR002C, YCR009C, YCR030C, YCR088W, YDL029W, YDL126C, YDL135C, YDL226C, YDR129C, YDR168W, YDR171W, YDR328C, YDR388W, YER125W, YER133W, YER155C, YFL037W, YFL039C, YGL106W, YGL206C, YHR107C, YIL034C, YIL041W, YIL062C, YIL118W, YIL138C, YIR006C, YJL020C, YJR065C, YJR070C, YJR125C, YKL007W, YKL013C, YKR001C, YKR048C, YLL021W, YLL050C, YLR314C, YLR370C, YLR429W, YMR092C, YMR109W, YNL079C, YNL138W, YNL243W, YNR035C, YOR122C, YOR326W, YPR080W, YPR165W
GO:0055085	transmembrane transport	52	1223	4.25%	270	6486	4.16%	YAL005C, YBL030C, YBL075C, YBR127C, YBR291C, YBR296C, YCL040W, YCR011C, YDL022W, YDL198C, YDR040C, YDR135C, YDR342C, YDR345C, YDR384C, YDR497C, YEL063C, YER056C, YER103W, YFR053C, YGL008C, YGL253W, YGR082W, YHR096C, YIL022W, YIL121W, YIR034C, YJL034W, YJR045C, YJR077C, YJR117W, YKL217W, YKR016W, YLL024C, YLR259C, YLR378C, YML030W, YML123C, YMR011W, YMR203W, YMR241W, YNL121C, YNL131W, YNR013C, YNR017W, YOL126C, YOR020C, YOR153W, YOR254C, YPL036W, YPL063W, YPR058W
GO:0033043	regulation of organelle organization	51	1223	4.17%	235	6486	3.62%	YAL003W, YAL016W, YAR007C, YBL007C, YBR160W, YBR234C, YCR028C-A, YCR088W, YCR093W, YDL126C, YDL135C, YDL160C, YDL192W, YDR155C, YDR232W, YER125W, YER133W, YGL173C, YGL190C, YGL207W, YGR254W, YHR174W, YIL033C, YIL034C, YIL118W, YIR006C, YJL020C, YJR017C, YKL007W, YKL117W, YKR048C, YLL021W, YLR180W, YLR429W, YML001W, YML074C, YMR092C, YMR109W, YMR308C, YNL098C, YNL138W, YNL243W, YOL145C, YOR122C, YOR198C, YPL203W, YPL204W, YPL218W, YPL240C, YPR165W, YPR181C
GO:0042274	ribosomal small subunit biogenesis	51	1223	4.17%	136	6486	2.10%	YAL035W, YBL072C, YBR048W, YBR181C, YBR189W, YDL060W, YDL083C, YDR025W, YDR064W, YDR299W, YDR378C, YDR447C, YDR450W, YEL026W, YER074W, YER102W, YGL120C, YGR103W, YGR118W, YGR159C, YHL015W, YHR021C, YIL069C, YJL109C, YJL136C, YJL191W, YJR123W, YKL156W, YKR048C, YLR048W, YLR167W, YLR192C, YLR441C, YML024W, YML026C, YML063W, YMR143W, YMR229C, YMR290C, YNL132W, YNL302C, YOL121C, YOR310C, YOR369C, YPL012W, YPL090C, YPL204W, YPL217C, YPL226W, YPL239W, YPR132W
GO:0006091	generation of precursor metabolites and energy	50	1223	4.09%	79	6486	1.22%	YAL017W, YAL038W, YAL054C, YBR117C, YBR145W, YBR160W, YBR196C, YCL040W, YCR012W, YDL085W, YDR050C, YDR099W, YEL011W, YER067W, YER133W, YER177W, YFR053C, YGL253W, YGR192C, YGR240C, YGR248W, YGR254W, YGR256W, YHR047C, YHR163W, YHR174W, YHR183W, YJL052W, YJL121C, YJR009C, YKL035W, YKL060C, YKL127W, YKL152C, YLR044C, YLR134W, YLR258W, YLR354C, YMR105C, YMR145C, YMR205C, YMR315W, YNL241C, YOL086C, YOR374W, YPL031C, YPL061W, YPR074C, YPR160W, YPR184W
GO:0006605	protein targeting	50	1223	4.09%	216	6486	3.33%	YAL005C, YBL075C, YBR106W, YBR164C, YBR283C, YDL029W, YDL100C, YDR092W, YEL013W, YER103W, YFL038C, YGL087C, YGR082W, YHR005C-A, YHR193C, YIL022W, YJL034W, YJR045C, YJR117W, YKL103C, YKR001C, YKR014C, YKR016W, YLL024C, YLR259C, YLR301W, YLR347C, YLR378C, YML001W, YML071C, YMR203W, YNL064C, YNL098C, YNL121C, YNL131W, YNL189W, YNR017W, YOL111C, YOR007C, YOR020C, YOR027W, YOR089C, YOR164C, YOR254C, YPL037C, YPL063W, YPL154C, YPL204W, YPL240C, YPR088C
GO:0048193	Golgi vesicle transport	50	1223	4.09%	194	6486	2.99%	YAL042W, YAR002C-A, YBL050W, YBR080C, YBR160W, YBR164C, YDL100C, YDL145C, YDL192W, YDL195W, YDL226C, YDR170C, YDR238C, YDR372C, YER031C, YFL005W, YFL038C, YFR051C, YGL137W, YGL200C, YGL206C, YGL210W, YGR209C, YGR284C, YIL076W, YIL109C, YJL117W, YJR125C, YKL196C, YKR014C, YLL050C, YLR043C, YLR208W, YLR380W, YML012W, YML071C, YMR079W, YMR183C, YMR231W, YMR237W, YNL044W, YNL287W, YOR089C, YOR115C, YPL010W, YPL085W, YPL145C, YPL204W, YPL218W, YPR181C
GO:0006457	protein folding	46	1223	3.76%	98	6486	1.51%	YAL005C, YBL075C, YBR072W, YBR169C, YCL043C, YCL045C, YDL143W, YDL229W, YDR188W, YDR212W, YDR214W, YDR258C, YDR533C, YER048C, YER103W, YGR132C, YGR231C, YGR285C, YHR064C, YIL142W, YJL008C, YJL014W, YJL111W, YJL117W, YJR045C, YJR051W, YJR064W, YKL117W, YLL024C, YLL026W, YLR200W, YLR216C, YLR259C, YML028W, YML048W, YML078W, YML130C, YMR186W, YNL007C, YNL064C, YNL135C, YNL209W, YOR020C, YOR027W, YPL106C, YPL240C
GO:0042273	ribosomal large subunit biogenesis	44	1223	3.60%	121	6486	1.87%	YDL136W, YDL191W, YDR091C, YDR418W, YEL054C, YER006W, YER131W, YFR031C-A, YGL076C, YGL078C, YGL120C, YGL189C, YGR085C, YGR103W, YGR162W, YHL001W, YHL033C, YIL133C, YIL148W, YKL006W, YKL180W, YKR094C, YLL045C, YLR075W, YLR106C, YLR185W, YLR340W, YLR448W, YML073C, YMR049C, YMR229C, YMR290C, YNL061W, YNL069C, YOL127W, YOR063W, YOR206W, YOR272W, YPL093W, YPL131W, YPL143W, YPL204W, YPR016C, YPR102C
GO:0006325	chromatin organization	43	1223	3.52%	249	6486	3.84%	YBL002W, YBL003C, YBR009C, YBR010W, YBR088C, YBR089C-A, YBR112C, YBR245C, YDL084W, YDR071C, YDR174W, YDR190C, YDR225W, YER120W, YER125W, YFR037C, YGL037C, YGL048C, YGL207W, YGR116W, YJL080C, YJR017C, YJR060W, YKR048C, YLR449W, YML010W, YML069W, YML074C, YMR235C, YMR307W, YNL030W, YNL031C, YNL088W, YNL135C, YNL216W, YOL004W, YOL012C, YOR141C, YOR209C, YOR230W, YPL235W, YPR034W, YPR133C
